ticker,event_date,text_missing,sentiment_score,positive_prob,negative_prob,neutral_prob,uncertainty_ratio,hedging_ratio,forward_guidance_strength,litigious_ratio,pre_earnings_momentum,pre_earnings_volatility,post_earnings_gap,volume_spike,amihud_illiquidity,ret_1d,ret_3d
AAPL,2022-10-27,False,-0.01874116249382496,0.01913556642830372,0.03787672892212868,0.9429876804351807,0.005338078291814947,0.0,0.0017793594306049821,0.0,-0.015880588095647297,0.024014523855110645,-0.008570505588658683,1.21283676979719,1.4179225062017233e-12,0.07555267278675903,0.04040080352890363
NVDA,2022-11-16,False,-0.018142536282539368,0.019513238221406937,0.037655774503946304,0.9428309202194214,0.00528169014084507,0.0,0.0035211267605633804,0.0017605633802816902,0.40191757716412235,0.038457089315253816,-0.030240978127221263,1.16373737808068,3.696859778198581e-12,-0.01464480274768687,-0.037272081452993544
JPM,2023-01-13,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.05329703648595174,0.009539641519482531,-0.0278874319386625,2.114606434579887,6.7630040859927554e-12,-0.015453272745830637,-0.05775806460296917
MSFT,2023-01-24,False,-0.008600855246186256,0.02217988483607769,0.030780740082263947,0.9470393657684326,0.006342494714587738,0.0,0.0021141649048625794,0.0021141649048625794,0.023717095852704873,0.021000807347700445,-0.00032967225437019465,1.3850048986412509,2.3341611114682797e-12,-0.005908133187126685,0.025284959705716537
TSLA,2023-01-25,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.31888177270487894,0.04991349204509405,-0.013760481867661323,1.0329668293107839,1.6599657652639614e-12,0.10967259156647335,0.153915475411194
META,2023-02-01,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.19424420785428254,0.019692195667213495,-0.006310146628254465,2.0285707725596085,4.710466450173093e-12,0.23282386589100423,0.21512529657055324
GOOGL,2023-02-02,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.12690767322927443,0.020893456225691647,0.05346995598040816,2.0715696381104722,5.629441597784837e-12,-0.027473563532379175,-0.0009281064165860275
AMZN,2023-02-02,False,-0.011999960988759995,0.02050049975514412,0.032500460743904114,0.9469990730285645,0.006198347107438017,0.0,0.002066115702479339,0.0,0.2252388941947352,0.022934294529842233,0.048502124584999695,2.07027638545071,2.910009397574801e-12,-0.08431497620839845,-0.09565142769880275
AAPL,2023-02-02,False,-0.023674622178077698,0.018275629729032516,0.041950251907110214,0.9397740960121155,0.005291005291005291,0.0,0.001763668430335097,0.0,0.16278889595314183,0.012661938151731892,0.023860195782387184,1.633532307979913,1.2124032347181528e-12,0.024399836392140273,0.025394476785333797
NVDA,2023-02-22,False,-0.011377878487110138,0.022450119256973267,0.033827997744083405,0.9437218904495239,0.0071174377224199285,0.0,0.019572953736654804,0.0017793594306049821,0.07617360117118444,0.035366244138846925,0.0025177106931975057,0.9902624646737302,2.5577633807782687e-12,0.1402138477169914,0.13235992773977778
JPM,2023-04-14,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.013584316033631527,0.015865534252508626,0.047755592248680534,2.6384267202117244,4.956333049379147e-12,0.007929000697043387,0.017948662969020646
TSLA,2023-04-19,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.0057844341533086485,0.03202335268485735,-0.028267546655584064,0.978779498373351,8.695734446092943e-13,-0.09745828230593878,-0.09989475415005455
GOOGL,2023-04-25,False,-0.12253417447209358,0.03712620958685875,0.15966038405895233,0.803213357925415,0.009403216327402895,0.0018699577923812576,0.0032056419297964416,0.0059304375701234174,0.03425716077065899,0.016352679628044296,-0.0013210361177136143,1.6097352483797123,3.851643161956743e-12,-0.001347975337044005,0.03360612587310441
MSFT,2023-04-25,False,-0.008372817188501358,0.022298842668533325,0.030671659857034683,0.9470294713973999,0.006342494714587738,0.0,0.0021141649048625794,0.0021141649048625794,0.019502067841102866,0.013087946133921282,-0.008020725916110139,1.868857197918674,1.4258833617362624e-12,0.0724347897694444,0.1156054244821283
META,2023-04-26,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.023220187453714347,0.014339840518320362,0.023849812708027773,2.212921290372445,2.7114711750132424e-12,0.1392549490925823,0.16131800033562516
